monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers,monthly_contributors_2mo
89,2,2,1,0,0,7,0,6,2,9,9,5,1
48,2,0,1,0,0,5,0,5,7,4,4,0,2
7,1,1,0,0,0,3,0,0,0,4,7,1,3
10,2,1,0,0,0,1,0,3,1,3,13,0,1
8,3,0,1,0,0,1,0,8,4,4,10,2,3
6,1,0,0,0,0,0,0,3,0,4,7,1,5
21,3,0,0,0,0,0,1,9,4,1,11,1,4
79,5,4,3,1,1,0,0,5,0,4,6,2,5
204,4,0,0,0,0,0,0,1,0,7,10,2,6
238,5,3,2,0,0,10,0,4,5,3,11,5,4
115,6,2,1,0,0,6,3,48,20,5,12,1,5
138,4,0,0,0,0,0,3,21,15,7,6,1,4
250,5,0,0,0,0,0,1,6,8,6,10,2,4
250,4,0,0,0,0,0,1,22,15,4,11,0,6
111,4,1,0,0,0,1,7,15,17,4,11,0,5
149,6,0,1,0,0,1,13,65,63,3,13,1,4
163,5,2,1,0,0,3,0,53,84,2,6,5,3
55,4,0,0,0,0,0,2,14,24,4,8,2,6
55,3,0,0,0,0,0,2,38,87,3,4,1,5
177,6,0,0,0,0,0,13,48,86,3,6,0,6
90,5,0,0,0,0,0,2,8,12,5,7,0,6
240,6,0,0,0,0,0,1,74,87,3,6,1,3
155,6,0,0,0,0,0,2,32,17,4,7,0,2
69,3,0,0,0,0,0,0,28,25,2,8,0,6
30,2,0,0,0,0,0,3,16,20,6,26,0,7
88,6,0,0,0,0,0,1,39,38,5,21,0,7
295,7,0,0,0,0,0,3,79,83,4,10,2,7
346,7,0,0,0,0,0,0,59,85,6,5,2,6
110,7,0,4,0,0,8,0,118,188,8,7,1,6
170,6,0,0,0,0,0,4,128,405,6,6,0,5
161,6,0,0,0,0,0,2,125,277,2,4,1,3
55,5,0,0,0,0,0,3,24,47,5,5,0,8
19,3,0,0,0,0,0,3,29,50,14,10,0,6
113,8,0,0,0,0,0,23,40,86,13,14,0,3
90,6,0,0,0,0,0,11,44,107,11,13,2,4
35,3,0,0,0,0,0,4,20,30,2,8,0,10
33,4,0,0,0,0,0,2,11,19,7,11,0,7
134,10,0,0,0,0,0,0,15,25,10,11,0,4
273,7,0,0,0,0,0,2,12,17,9,10,1,2
36,4,0,0,0,0,0,4,7,55,7,9,0,7
20,2,0,0,0,0,0,2,21,36,10,8,0,7
113,7,0,0,0,0,0,10,26,79,10,7,1,8
179,7,0,0,0,0,0,5,83,142,8,4,1,6
362,8,0,0,0,0,0,14,69,232,11,11,1,8
149,6,0,0,0,0,0,13,26,131,10,8,0,5
231,8,0,0,0,0,0,18,136,304,13,8,0,6
73,5,0,0,0,0,0,10,29,50,12,9,0,5
117,6,0,0,0,0,0,27,69,97,19,9,0,8
22,5,0,0,0,0,0,27,105,253,11,11,0,6
86,8,0,0,0,0,0,41,50,95,15,10,0,8
55,6,0,0,0,0,0,9,30,63,12,7,0,6
72,8,0,0,0,0,0,6,71,100,10,6,1,5
144,6,0,0,0,0,0,6,236,364,11,9,0,5
47,5,2,2,0,0,2,4,56,40,10,7,0,7
33,5,0,0,0,0,0,11,15,41,17,15,0,6
75,7,0,0,0,0,0,6,63,40,8,15,0,5
120,6,0,0,0,0,0,13,96,135,14,9,0,3
51,5,0,0,0,0,0,2,54,63,9,9,0,4
33,3,0,0,0,0,0,5,14,19,7,10,0,7
19,4,0,0,0,0,0,11,8,19,15,10,0,8
35,7,0,0,0,0,0,16,30,27,7,13,0,4
69,8,0,0,0,0,0,34,47,124,7,5,0,3
